cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,GHS_urban_area_id
0.016116241,0.08001242,0.0014617728,0.64928454,0.0022414909,4.902503e-05,0.006712632,0.017428504,0.011038823,0.018682402,0.061921876,0.05010272,0.084947586,60
0.019569933,0.078026064,0.0017541337,0.5845896,0.0026683174,5.744473e-05,0.008096871,0.02124673,0.013863552,0.022287568,0.08515787,0.057521835,0.1051601,61
0.015107874,0.08578694,0.0013562272,0.66094875,0.0021081818,4.597277e-05,0.0062842024,0.01654936,0.010058427,0.01742433,0.054053005,0.047685668,0.082591,62
0.0672638,0.015095767,0.0076207398,0.014216079,0.022949602,0.00014275215,0.6993419,0.030414294,0.041537,0.035924494,0.023605933,0.022275941,0.019611727,63
0.024769187,0.08172898,0.0016947303,0.19913848,0.0029368582,5.281436e-05,0.009366374,0.036228314,0.015078425,0.022835221,0.090072095,0.058301207,0.45779738,64
0.06565917,0.014509406,0.007215106,0.013698766,0.021794396,0.00013499205,0.7089173,0.029771756,0.040524438,0.034453377,0.022876758,0.021433093,0.019011363,65
0.07757595,0.017856939,0.009099433,0.017074447,0.030373644,0.00016757804,0.6374432,0.040664554,0.05186947,0.039311606,0.028479176,0.025768831,0.02431526,66
0.06361076,0.013803287,0.0067611756,0.013011272,0.019747851,0.00012710394,0.72304547,0.027648818,0.038373116,0.033555064,0.021805335,0.020556765,0.017954018,67
0.058900073,0.03770063,0.08476595,0.036909625,0.38907698,0.0020827067,0.08587738,0.061881255,0.06297933,0.04789252,0.044998676,0.04209258,0.044842318,68
0.050594088,0.0229056,0.028170144,0.022041691,0.545147,0.00047309053,0.108692974,0.048683252,0.05064495,0.03482773,0.030431878,0.027879072,0.029508574,69
0.09453879,0.028040446,0.02145213,0.026959727,0.07683172,0.00036140654,0.44121212,0.056848787,0.07839297,0.057682607,0.042413116,0.038929287,0.036336847,70
0.04905797,0.035692804,0.0031057629,0.042192243,0.0068325107,8.058226e-05,0.022159792,0.51935375,0.03538621,0.02780703,0.06848369,0.03917116,0.15067661,71
0.08723179,0.022931634,0.014300891,0.021682104,0.04409001,0.00025846044,0.5557177,0.043764196,0.061368003,0.051877484,0.03474833,0.03296747,0.029061954,72
0.07701306,0.017205805,0.00832352,0.016428396,0.027816305,0.00015527061,0.6493782,0.040048234,0.049683858,0.03789931,0.027545808,0.024884857,0.023617394,73
0.07628861,0.056417942,0.0023065824,0.04189668,0.0037179126,6.761263e-05,0.019338638,0.020350497,0.021222124,0.3360211,0.06918374,0.31496653,0.038222004,74
0.09437511,0.027525265,0.020006012,0.026250668,0.068836555,0.00034888298,0.46279392,0.05384893,0.07348411,0.05783915,0.041127257,0.03843179,0.035132326,75
0.082080126,0.044390965,0.027408801,0.044245332,0.20568673,0.00055152294,0.11197447,0.16141067,0.092423774,0.052294258,0.059725996,0.04943808,0.06836915,76
0.037238963,0.022572774,0.0035281007,0.024357283,0.0095179705,8.710031e-05,0.0243053,0.70745254,0.031993706,0.02035553,0.03567347,0.024202991,0.05871419,77
0.07012298,0.037231844,0.00882691,0.038914658,0.028291812,0.00020232023,0.059450343,0.47200352,0.06908708,0.03845655,0.05727705,0.04127113,0.07886377,78
0.05081425,0.009673588,0.0040842528,0.009064028,0.011307318,7.942136e-05,0.80137336,0.019212766,0.026428053,0.02500477,0.015547568,0.014792971,0.012617719,79
0.29694778,0.023908112,0.0051069385,0.021509854,0.011760808,0.00011441459,0.34751147,0.041321978,0.050084896,0.087284245,0.040956676,0.04257051,0.030922418,80
0.12204286,0.018111816,0.0058574695,0.01748212,0.016047586,0.00011596168,0.5852277,0.04606439,0.056541406,0.044936307,0.032682598,0.028239269,0.026650405,81
0.06636865,0.014382073,0.0070880214,0.013703466,0.021513497,0.00013086562,0.7060014,0.030922426,0.04238483,0.03377301,0.023207499,0.021258352,0.019265987,82
0.38277817,0.026607715,0.0048431247,0.02410551,0.011810923,0.000108821594,0.22099568,0.059551906,0.05643281,0.07994924,0.047923267,0.046337467,0.0385554,83
0.083137795,0.03526563,0.05986743,0.039696842,0.05477464,0.00050835015,0.11993372,0.07081535,0.29834244,0.06575113,0.07124889,0.049971364,0.05068645,84
0.058022242,0.053431626,0.0031193853,0.06702926,0.0064543867,8.6040316e-05,0.022319991,0.2271151,0.033706278,0.034810696,0.10067648,0.056475025,0.33675346,85
0.014810788,0.090519816,0.001268512,0.66046244,0.001974261,4.2710963e-05,0.0060187685,0.015493174,0.009587817,0.017499685,0.053901587,0.050823595,0.07759682,86
0.10910986,0.030343585,0.015249176,0.028881177,0.07092843,0.00028116687,0.38426188,0.08912247,0.08534896,0.055381663,0.0464087,0.040932536,0.043750443,87
0.18207508,0.019001953,0.0047829174,0.017323397,0.01176609,0.00010302666,0.5333616,0.036790583,0.0449182,0.060263246,0.03230153,0.032064967,0.025247406,88
0.09613318,0.032354925,0.023585606,0.030745294,0.14914349,0.00041375015,0.31772107,0.07804908,0.08284076,0.0568909,0.046362773,0.04225042,0.04350877,89
0.1255485,0.0283688,0.008859597,0.031988736,0.012864738,0.00015473018,0.091107465,0.049433593,0.3759668,0.09237977,0.08682217,0.05377471,0.0427304,90
0.09163073,0.05661989,0.0022309145,0.04089994,0.0037439952,6.51185e-05,0.020371333,0.021846976,0.020996986,0.3245595,0.069009125,0.30744764,0.04057788,91
