cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,GHS_urban_area_id
0.033103187,0.018231697,0.012022941,0.036197912,0.022556761,0.00047189664,0.6656856,0.019531837,0.024045883,0.09347123,0.016662635,0.058018442,63
0.07860154,0.048692413,0.006559746,0.32545593,0.05720511,0.0004166616,0.038760897,0.059106644,0.094009586,0.10947542,0.044579033,0.13713703,64
0.004460226,0.0027043151,0.0031003747,0.0049808463,0.0032372407,9.773569e-05,0.95257014,0.0028920795,0.0034657235,0.01006329,0.0025126613,0.009915314,65
0.04358774,0.031208923,0.22258435,0.048524328,0.03524117,0.0026377172,0.34492013,0.03302095,0.037494276,0.07113852,0.029807918,0.09983399,66
0.00524471,0.0032166988,0.0040108403,0.0058485013,0.0038357363,0.00012204962,0.94389105,0.0034374334,0.004102289,0.011535841,0.0029945907,0.011760299,67
0.06256832,0.055463325,0.23282537,0.065282136,0.05801891,0.0938065,0.1027676,0.056731693,0.059481833,0.07306111,0.054544102,0.08544906,68
0.013845,0.011134199,0.8273918,0.014936912,0.012065567,0.002754566,0.03958806,0.01157974,0.012605763,0.018640913,0.010803751,0.024653766,69
0.03966909,0.027372543,0.10911448,0.044247415,0.031321246,0.0018422437,0.4953857,0.029038247,0.033376943,0.06911883,0.025981734,0.09353153,70
0.062856264,0.0404279,0.008879194,0.17151484,0.046740573,0.0005097758,0.056600165,0.04749398,0.06892726,0.1015169,0.03750844,0.35702476,71
0.010797184,0.0067474814,0.0099308025,0.01191963,0.007998771,0.00028102414,0.8836297,0.0071804025,0.008504999,0.0227449,0.0062918253,0.023973323,72
0.034925114,0.025998315,0.47376856,0.03851634,0.02895838,0.0029468103,0.18411836,0.027363883,0.030640643,0.05328399,0.024967004,0.07451263,73
0.04652721,0.16094029,0.000385511,0.013612323,0.60417664,3.5343994e-05,0.0015421698,0.062643625,0.049246527,0.0072744344,0.051630784,0.0019851667,74
0.01256421,0.009730751,0.8322706,0.013645243,0.010690561,0.0016009402,0.046638563,0.010169378,0.01121443,0.017928278,0.009390752,0.024156192,75
0.05443478,0.047568653,0.34711543,0.060943745,0.049822293,0.024796033,0.10427536,0.049369633,0.052992616,0.065936476,0.046744112,0.09600084,76
0.018093126,0.39490017,0.00036223044,0.0107922675,0.06645633,3.5548528e-05,0.0013231343,0.1335421,0.04249948,0.004912873,0.32527715,0.00180552,77
0.064558305,0.04207878,0.008811772,0.18413438,0.048407137,0.00051437155,0.054461222,0.049728956,0.07256669,0.10062192,0.03914672,0.3349698,78
0.009686274,0.0060375407,0.008666627,0.010724791,0.007162603,0.00024776504,0.89556456,0.0064291274,0.0076265964,0.020533899,0.005627982,0.021692226,79
0.068488486,0.027244555,0.0060005942,0.06280887,0.037469354,0.00032963665,0.068339884,0.029032005,0.03845753,0.5983493,0.023604412,0.039875377,80
0.73248345,0.031041937,0.0007902122,0.028753687,0.078210905,6.300151e-05,0.0038907,0.026789675,0.037872896,0.035552293,0.020176971,0.004374205,81
0.012335723,0.007874116,0.012992422,0.013973882,0.009253492,0.0003478387,0.86216855,0.008430644,0.009958836,0.025061049,0.007392233,0.030211117,82
0.61467975,0.0371039,0.0012445457,0.054949008,0.07965031,9.514514e-05,0.0066273436,0.036369886,0.056018267,0.07950842,0.0262584,0.007494973,83
0.025739858,0.021354856,0.68141705,0.028640127,0.022831129,0.0063786595,0.063969694,0.022225678,0.02419678,0.033395797,0.020798633,0.049051773,84
0.016848529,0.30153528,0.00036835775,0.010806862,0.056443192,3.640438e-05,0.0013315912,0.13696152,0.041874662,0.004815264,0.4271415,0.0018368128,85
0.011893984,0.103710346,0.00030774233,0.008996381,0.031919494,3.0682106e-05,0.0011026924,0.14070582,0.033951215,0.0037932678,0.6620403,0.0015480808,86
0.022031952,0.014388234,0.030184546,0.024820033,0.01678175,0.0007152099,0.7471563,0.015324027,0.017978992,0.0426755,0.013523522,0.05441994,87
0.047605943,0.025315614,0.013808808,0.052403215,0.031665243,0.00057965855,0.51973766,0.02729691,0.033982545,0.14796615,0.023074124,0.076564185,88
0.01865116,0.014244027,0.7429525,0.020305866,0.015729692,0.0020541793,0.07676303,0.014895333,0.016517296,0.027206874,0.013704855,0.036975145,89
0.051093042,0.027560297,0.0143067725,0.06272936,0.034196023,0.0006011012,0.4483106,0.030006908,0.038199868,0.15443112,0.025128312,0.11343661,90
0.19622271,0.08341502,0.0006360939,0.025129918,0.5111971,5.5323482e-05,0.0027398185,0.054863386,0.066151746,0.015880281,0.04030593,0.00340266,91
0.038801014,0.049240872,0.0006060493,0.0730926,0.051990103,5.175764e-05,0.0026187655,0.107321374,0.61534876,0.011766177,0.04497002,0.0041924645,92
0.029030902,0.016176814,0.011614183,0.03107541,0.019957244,0.00044385158,0.7101483,0.017241448,0.021058304,0.079005025,0.014790042,0.04945846,93
0.026278183,0.008333881,0.0011642692,0.01946938,0.01226848,7.116887e-05,0.009944993,0.008818541,0.012078715,0.88692963,0.0069969078,0.007645761,94
0.054353908,0.013204534,0.0012490907,0.030317932,0.020922862,8.226562e-05,0.008920087,0.013785272,0.019607572,0.81876063,0.010680531,0.00811534,95
0.02849203,0.04324161,0.00042675034,0.04623674,0.043606445,3.680663e-05,0.0018063713,0.08480817,0.70458615,0.008049177,0.035809543,0.0029002503,96
0.7713452,0.024958871,0.00063632906,0.028247591,0.06096722,5.0201226e-05,0.0032109763,0.023453947,0.035584327,0.031049922,0.0167869,0.003708535,97
0.678516,0.037564214,0.0005915762,0.029202148,0.115669414,4.858928e-05,0.002801309,0.03471846,0.05298122,0.021014232,0.023486452,0.0034064746,98
0.032119088,0.024027435,0.5302564,0.03510152,0.02672906,0.002893253,0.15804729,0.025220362,0.02814717,0.048482973,0.023072021,0.06590345,99
0.037228167,0.012064669,0.0017958262,0.02611802,0.017721562,0.00010884593,0.015328589,0.012500773,0.016877597,0.8390558,0.010056888,0.01114327,100
0.046866655,0.14961003,0.00037438553,0.013529278,0.61639357,3.4220495e-05,0.0015053541,0.06273547,0.04986689,0.0071642483,0.04998141,0.0019386217,101
0.03804338,0.0097449655,0.0009895621,0.022338659,0.01522976,6.438932e-05,0.007263784,0.010188303,0.014363598,0.86742294,0.007936397,0.006414298,102
0.7272406,0.032437462,0.0005278271,0.02352422,0.10271175,4.341007e-05,0.002487567,0.028210767,0.041171346,0.01880479,0.019864365,0.0029759926,103
0.07362235,0.035116445,0.012618909,0.07837478,0.045523785,0.0006036148,0.23682712,0.037814062,0.0485422,0.31617057,0.031379066,0.083407015,104
0.061908804,0.03144367,0.014513414,0.06524932,0.039979693,0.0006468445,0.38384825,0.033764895,0.042286128,0.21707587,0.028416164,0.08086702,105
0.7208691,0.029660402,0.00085812696,0.0349248,0.069088645,6.704101e-05,0.004402291,0.027771348,0.04110994,0.046010166,0.020286122,0.004951973,106
0.72043985,0.03351006,0.0005427811,0.023139799,0.10780225,4.4767126e-05,0.0025483884,0.028675806,0.040713675,0.019116793,0.020442178,0.0030236894,107
0.7389708,0.031026999,0.00051544653,0.022777153,0.09703709,4.234754e-05,0.0024359445,0.027161542,0.03940905,0.01857174,0.019150805,0.002901135,108
0.017190116,0.013184908,0.7640974,0.018771406,0.0145331975,0.001957061,0.06936128,0.013806846,0.0152900005,0.024938207,0.012708843,0.034160715,109
0.5643294,0.05256556,0.000704899,0.029279651,0.1952027,5.902908e-05,0.0032148587,0.041353006,0.057330262,0.022172978,0.029907685,0.003880059,110
0.012107773,0.10704875,0.00031574836,0.008985419,0.032671895,3.1591506e-05,0.0011273926,0.13057142,0.033055592,0.0038660297,0.6686444,0.0015740365,111
0.031909835,0.021517843,0.06114256,0.036147643,0.024804592,0.0012424559,0.6149518,0.02294849,0.026648317,0.0582462,0.020375784,0.080064476,112
0.027598256,0.114498734,0.0004251102,0.023901828,0.071922086,3.8756254e-05,0.0016938461,0.39218292,0.25732028,0.007022541,0.10088531,0.0025103155,113
0.09488642,0.08367773,0.00046021224,0.016790727,0.65803194,4.0897656e-05,0.0019224627,0.046682555,0.04873102,0.010265576,0.03611114,0.0023993002,114
0.009030047,0.005497938,0.005693662,0.010873945,0.006552503,0.00018459323,0.8966286,0.0059431237,0.0072390777,0.02047958,0.005117543,0.026759338,115
0.6601254,0.041407432,0.00063657074,0.02523141,0.14073832,5.294162e-05,0.0029462716,0.03368833,0.04576031,0.021319728,0.024620911,0.0034723415,116
0.022042684,0.6054267,0.00031686155,0.010523687,0.12487193,3.0148494e-05,0.0011997208,0.08754378,0.04371908,0.004904485,0.09780212,0.0016187618,117
0.013221718,0.11976548,0.0003533521,0.009728962,0.03571997,3.554993e-05,0.0012523885,0.12552363,0.034638356,0.0042574615,0.653758,0.0017451613,118
0.04266547,0.030809674,0.26718202,0.04764406,0.034681976,0.0027410903,0.30756524,0.032531545,0.036913443,0.0686518,0.02942043,0.09919331,119
0.053976834,0.045912698,0.29615012,0.066272795,0.048373897,0.0081379935,0.12382138,0.04847922,0.05382811,0.06880603,0.0449216,0.14131936,120
0.016390735,0.011810382,0.008749433,0.027762631,0.013128247,0.0003623825,0.04786074,0.013231664,0.016681788,0.026486313,0.011277189,0.80625844,121
0.03599231,0.4367691,0.00044200566,0.014177409,0.26579165,4.17301e-05,0.0016954666,0.0893614,0.053159725,0.007230683,0.09311387,0.0022246942,122
0.04597354,0.024634501,0.013699115,0.051992916,0.030713959,0.0005670717,0.52748626,0.026552547,0.03324263,0.14062154,0.022425352,0.08209048,123
0.008829586,0.006044776,0.003257521,0.015989302,0.0068432232,0.00014597122,0.022324624,0.0068168575,0.008868989,0.015220894,0.0057069603,0.89995134,124
0.051590748,0.040789496,0.083133996,0.07339262,0.043964818,0.0025588397,0.1569994,0.044307645,0.052223343,0.07348898,0.03946706,0.33808306,125
